Agent_0,Bidding_Factor_0,Participated_0,Agent_1,Bidding_Factor_1,Participated_1,Agent_2,Bidding_Factor_2,Participated_2,Agent_3,Bidding_Factor_3,Participated_3,seller_id,starting_price,market_price
,2.1118413317898863,0,,1.9182209901269154,0,48.45069950018977,2.527835156309533,1,,1.4118699699850012,0,1,18.97520587347762,48.45069950018977
85.27732354724866,2.506665539371353,1,107.62804393505003,1.5660061936977485,1,116.94168838440923,1.7015212914393452,1,93.60925331829947,1.3620304255677294,1,0,68.0404483229425,100.86407729625185
47.062303140633844,2.0907229184719873,1,42.7474812473561,3.8364419802538308,1,56.332709576699884,2.5025568047464377,1,,1.4118699699850012,0,1,22.284961674060188,48.714164654896614
,1.7744969020015346,0,223.39438596045565,2.557942909826138,1,234.07610988580979,2.680252339680909,1,,2.67853561868554,0,2,86.46027292136993,228.7352479231327
,3.026915444286081,0,,2.510592812466727,0,125.28017969432035,2.2201692479838826,1,,1.750214665144318,0,4,55.8639292972846,125.28017969432035
169.55286507619965,2.9966462898432202,1,140.6310193424801,2.48548688434206,1,124.36292452778572,2.197967555504044,1,98.03838806722662,3.500429330288636,1,4,56.015064905848355,133.14629925342302
148.65615595502706,2.0698156892872674,1,272.78158778966275,3.7980775604512926,1,,2.5025568047464377,0,100.38784221091507,2.8237399399700025,1,1,71.1027533307345,173.94186198520163
,1.486852449255775,0,80.7843138141454,2.696164521850023,1,,1.6959366376618144,0,72.74815031327411,2.427958753924798,1,3,29.66305283964148,76.76623206370977
,2.506665539371353,0,57.29923368119002,1.550346131760771,1,,1.7015212914393452,0,,1.3620304255677294,0,0,36.589404251263915,57.29923368119002
42.15595949845401,2.4815988839776395,1,26.07301521186693,3.100692263521542,1,28.61541020173884,1.6845060785249517,1,22.906007424626374,2.7240608511354587,1,0,16.817544597124957,29.93759808417154
41.156967766205,1.4719839247632174,1,74.63145140844978,2.669202876631523,1,,1.6959366376618144,0,67.20735485419253,2.40367916638555,1,3,27.68059990539451,60.998591342949105
,2.9966462898432202,0,132.94722694849028,2.460632015498639,1,,2.197967555504044,0,187.23589954256593,3.4654250369857498,1,4,53.48940997678332,160.0915632455281
,1.7744969020015346,0,,2.557942909826138,0,,2.680252339680909,0,263.107816603102,2.6517502624986844,1,2,98.22823141408105,263.107816603102
129.09598273351764,4.139631378574535,1,236.88899340279877,3.76009678484678,1,156.08637606106902,2.4775312366989732,1,176.11881310061824,2.7955025405703022,1,1,62.37076247980868,174.5475413245009
119.6803566194663,1.7567519329815193,1,172.51961348307992,2.5323634807278768,1,,2.680252339680909,0,178.84641935617842,2.6252327598736973,1,2,67.44466923806598,157.0154631529082
,2.9966462898432202,0,135.2141034743269,2.4360256953436528,1,,2.197967555504044,0,190.42844951302447,3.4307707866158923,1,4,54.95096488327459,162.82127649367567
,2.4815988839776395,0,,3.100692263521542,0,,1.6845060785249517,0,258.26758821501954,2.696820242624104,1,0,94.80977200174033,258.26758821501954
48.11652914506167,4.098235064788789,1,43.70505245291497,3.722495816998312,1,28.797299338154204,4.9550624733979465,1,32.49320221230974,2.7675475151645994,1,1,11.623384969516392,38.278020787110144
66.46682543534476,2.966679826944788,1,54.032034143373004,2.4116654383902163,1,48.75180841976582,4.395935111008088,1,,3.4307707866158923,0,4,22.18040402720409,56.41688933282787
78.5159854189676,1.4572640855155852,1,,2.669202876631523,0,90.46167833359165,1.6789772712851962,1,,2.40367916638555,0,3,53.340246519062795,84.48883187627962
,1.7567519329815193,0,,2.5323634807278768,0,170.12543118864826,2.6534498162841,1,,2.6252327598736973,0,2,63.47366203918775,170.12543118864826
77.46947324109674,1.739184413651704,1,111.67249127429457,2.507039845920598,1,117.01217211148308,2.626915318121259,1,115.76785271983269,2.5989804322749603,1,2,44.09812893139517,105.48049733667676
,2.966679826944788,0,192.65253658713402,2.3875487840063143,1,351.16315734633963,4.351975759898007,1,274.0623487691435,3.396463078749733,1,4,79.88360803301529,272.62601423420574
,1.4572640855155852,0,,2.669202876631523,0,62.28177686320262,1.6621874985723444,1,89.16464329321127,2.3796423747216946,1,3,37.09506848507138,75.72321007820695
,4.098235064788789,0,,3.722495816998312,0,,4.9550624733979465,0,32.64692212280007,2.7398720400129535,1,1,11.796336627975979,32.64692212280007
282.00543420868695,4.057252714140901,1,256.150277526048,3.685270858828329,1,340.96495741485086,4.905511848663967,1,188.53452574222078,5.479744080025907,1,1,68.81143461770186,266.91379872295164
122.69141910736876,2.456782895137863,1,,3.100692263521542,0,83.28277490919331,1.6676610177397022,1,133.33206457390204,2.669852040197863,1,0,49.44047158447798,113.10208619682139
236.9272683661335,2.9370130286753398,1,,2.3875487840063143,0,,4.351975759898007,0,271.2509493089894,3.3624984479622357,1,4,79.86276989321466,254.08910883756144
,1.739184413651704,0,,2.507039845920598,0,,2.626915318121259,0,59.030473355526034,2.5729906279522106,1,2,22.712934896495163,59.030473355526034
123.7190623925241,2.9145281710311703,1,226.61045483423354,2.6425108478652075,1,141.1166863219495,1.645565623586621,1,202.02729646351315,2.355845950974478,1,3,84.89817571312193,173.36837500305506
56.47584751969031,2.9076428983885863,1,45.910195070594575,2.363673296166251,1,,4.351975759898007,0,64.65751012277933,3.3288734634826134,1,4,19.22900816860258,55.68118423768808
99.18488366886226,1.721792569515187,1,,2.507039845920598,0,,2.626915318121259,0,146.73646688143592,2.5472607216726884,1,2,57.02953803536409,122.96067527514909
,2.456782895137863,0,,3.100692263521542,0,,1.6676610177397022,0,264.1798766422206,2.6431535197958844,1,0,98.94925736133386,264.1798766422206
